celltype_leiden_res_1.0,MAGEA4,MAGEB2,SYCP1,MAGEC2,PAGE5,PAGE1,CTCFL,SPO11,FATE1,CT47B1,LEMD1,PLAC1,TMEFF2,ARX,PRAME,SPAG17
Cycling,0.29577464788732394,0.38028169014084506,0.02112676056338028,0.352112676056338,0.2605633802816901,0.19718309859154928,0.11267605633802817,0.035211267605633804,0.5070422535211268,0.014084507042253521,0.007042253521126761,0.2112676056338028,0.06338028169014084,0.08450704225352113,0.5845070422535211,0.18309859154929578
Erythroid,0.17391304347826086,0.20652173913043478,0.0,0.13043478260869565,0.09782608695652174,0.22826086956521738,0.05434782608695652,0.010869565217391304,0.5108695652173914,0.010869565217391304,0.20652173913043478,0.2826086956521739,0.03260869565217391,0.25,0.5217391304347826,0.08695652173913043
Erythroid (primitive),0.15,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.125,0.0,0.025,0.125,0.025,0.05,0.0,0.1
Fibroblast,0.08695652173913043,0.36231884057971014,0.014492753623188406,0.2753623188405797,0.2753623188405797,0.13043478260869565,0.014492753623188406,0.057971014492753624,0.6086956521739131,0.014492753623188406,0.07246376811594203,0.7391304347826086,0.3188405797101449,0.5942028985507246,0.18840579710144928,0.0
Immune,0.15254237288135594,0.1694915254237288,0.01694915254237288,0.1864406779661017,0.1016949152542373,0.06779661016949153,0.01694915254237288,0.05084745762711865,0.4067796610169492,0.0,0.0,0.2033898305084746,0.01694915254237288,0.1694915254237288,0.15254237288135594,0.03389830508474576
Mesenchymal,0.13157894736842105,0.13157894736842105,0.0,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.02631578947368421,0.05263157894736842,0.7105263157894737,0.0,0.23684210526315788,0.7368421052631579,0.15789473684210525,0.5526315789473685,0.13157894736842105,0.0
Mixed,0.6781609195402298,0.7241379310344828,0.13793103448275862,0.7011494252873564,0.6551724137931034,0.6206896551724138,0.40229885057471265,0.25287356321839083,0.22988505747126436,0.06896551724137931,0.011494252873563218,0.10344827586206896,0.08045977011494253,0.08045977011494253,0.9655172413793104,0.3563218390804598
PGC,0.23841059602649006,0.31788079470198677,0.019867549668874173,0.2119205298013245,0.2052980132450331,0.17218543046357615,0.08609271523178808,0.046357615894039736,0.12582781456953643,0.006622516556291391,0.006622516556291391,0.12582781456953643,0.033112582781456956,0.059602649006622516,0.7615894039735099,0.1390728476821192
PGC (early),0.15254237288135594,0.23728813559322035,0.0,0.0,0.01694915254237288,0.06779661016949153,0.11864406779661017,0.0,0.3220338983050847,0.0,0.01694915254237288,0.11864406779661017,0.0,0.01694915254237288,0.559322033898305,0.1864406779661017
PGC (late),0.7,1.0,0.3333333333333333,0.8,0.9666666666666667,0.36666666666666664,0.3333333333333333,0.5333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.36666666666666664,0.06666666666666667,0.9666666666666667,0.26666666666666666
Prospermatogonia,0.922077922077922,1.0,0.4329004329004329,1.0,0.9653679653679653,0.8051948051948052,0.7445887445887446,0.7748917748917749,0.2554112554112554,0.15151515151515152,0.03896103896103896,0.1341991341991342,0.31601731601731603,0.19913419913419914,1.0,0.5021645021645021
Sertoli,0.143646408839779,0.23756906077348067,0.04419889502762431,0.26519337016574585,0.15469613259668508,0.1270718232044199,0.016574585635359115,0.03867403314917127,0.9558011049723757,0.011049723756906077,0.20441988950276244,0.30386740331491713,0.016574585635359115,0.1712707182320442,0.7513812154696132,0.049723756906077346
