celltype_leiden_res_1.0,MAGEA4,MAGEB2,CTAG2,SYCP1,BRDT,SPANXN2,PAGE5,PAGE1,PAGE2,PAGE2B,PAGE4,IL13RA2,CTCFL,LUZP4,SPO11,FMR1NB,TDRD1,TEX15,TPTE,HORMAD1,CT47B1,RBM46,PBK,CABYR,PLAC1,LY6K,DPPA2,FAM133A,MAEL,PRAME,TEX101,NR6A1,TMPRSS12,DMRT1
Endothelial,0.005221932114882507,0.0,0.0,0.0026109660574412533,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0026109660574412533,0.0,0.015665796344647518,0.0,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0,0.005221932114882507,0.0,0.0,0.031331592689295036,0.013054830287206266,0.007832898172323759,0.010443864229765013,0.0,0.0026109660574412533,0.0026109660574412533,0.0026109660574412533,0.0,0.044386422976501305,0.0,0.0
Epithelial,0.0005406866720735334,0.002703433360367667,0.0024330900243309003,0.0113544201135442,0.0045958367126250335,0.0,0.0056772100567721,0.0,0.0045958367126250335,0.014868883482022168,0.0013517166801838335,0.3171127331711273,0.0032441200324412004,0.003784806704514734,0.0045958367126250335,0.0,0.007569613409029468,0.014057853473911868,0.004866180048661801,0.006488240064882401,0.0013517166801838335,0.010002703433360368,0.017572316842389836,0.03135982698026494,0.0008110300081103001,0.06190862395241957,0.001892403352257367,0.010543390105433901,0.009732360097323601,0.015409570154095702,0.003784806704514734,0.07785888077858881,0.0008110300081103001,0.0024330900243309003
Immune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Meiotic germ cells,0.07272727272727272,0.43636363636363634,0.28363636363636363,0.5527272727272727,0.6545454545454545,0.0,0.3709090909090909,0.02181818181818182,0.49818181818181817,0.7490909090909091,0.11272727272727273,0.24363636363636362,0.5054545454545455,0.44727272727272727,0.44727272727272727,0.04727272727272727,0.7672727272727272,0.6218181818181818,0.49818181818181817,0.6690909090909091,0.19636363636363635,0.8145454545454546,0.44363636363636366,0.6654545454545454,0.01090909090909091,0.8836363636363637,0.06545454545454546,0.5745454545454546,0.8836363636363637,0.8690909090909091,0.3709090909090909,0.36363636363636365,0.06181818181818182,0.12
Mixed,0.0,0.0,0.0006116207951070336,0.010397553516819572,0.0012232415902140672,0.003669724770642202,0.001834862385321101,0.0,0.001834862385321101,0.0030581039755351682,0.0012232415902140672,0.0691131498470948,0.001834862385321101,0.005504587155963303,0.0,0.0006116207951070336,0.003669724770642202,0.00672782874617737,0.001834862385321101,0.004281345565749235,0.0,0.003669724770642202,0.004892966360856269,0.05871559633027523,0.07767584097859327,0.025688073394495414,0.0006116207951070336,0.02874617737003058,0.007951070336391437,0.005504587155963303,0.0,0.13027522935779817,0.0,0.036085626911314984
Proliferating,0.0,0.00267379679144385,0.0,0.0053475935828877,0.00267379679144385,0.0,0.0,0.0,0.0,0.0,0.00267379679144385,0.22727272727272727,0.0053475935828877,0.0,0.00267379679144385,0.0,0.0053475935828877,0.0374331550802139,0.0,0.00267379679144385,0.0,0.00267379679144385,0.660427807486631,0.0374331550802139,0.22994652406417113,0.08021390374331551,0.00267379679144385,0.01871657754010695,0.008021390374331552,0.00267379679144385,0.00267379679144385,0.03208556149732621,0.0,0.00267379679144385
RA–responsive germ cells,0.023076923076923078,0.17142857142857143,0.02857142857142857,0.01868131868131868,0.17252747252747253,0.0,0.08351648351648351,0.001098901098901099,0.0912087912087912,0.18021978021978022,0.001098901098901099,0.031868131868131866,0.13186813186813187,0.33186813186813185,0.007692307692307693,0.006593406593406593,0.1978021978021978,0.17582417582417584,0.21208791208791208,0.21428571428571427,0.006593406593406593,0.3659340659340659,0.27472527472527475,0.2076923076923077,0.03296703296703297,0.17912087912087912,0.06263736263736264,0.3230769230769231,0.33516483516483514,0.3626373626373626,0.00989010989010989,0.42747252747252745,0.002197802197802198,0.34835164835164834
Stromal,0.0,0.0001836210062431142,0.0003672420124862284,0.0,0.0005508630187293427,0.0,0.0001836210062431142,0.0,0.0005508630187293427,0.000918105031215571,0.02791039294895336,0.21006243114212267,0.0029379360998898272,0.0003672420124862284,0.0001836210062431142,0.0001836210062431142,0.004774146162320969,0.01046639735585751,0.0007344840249724568,0.0001836210062431142,0.0,0.00348879911861917,0.009915534337128168,0.016342269555637164,0.06867425633492472,0.059493206022769,0.0007344840249724568,0.006793977230995226,0.001836210062431142,0.0005508630187293427,0.0,0.021850899742930592,0.000918105031215571,0.001836210062431142
Unknown,0.001098901098901099,0.0014652014652014652,0.002564102564102564,0.00695970695970696,0.0018315018315018315,0.0003663003663003663,0.003663003663003663,0.0,0.005494505494505495,0.00989010989010989,0.0003663003663003663,0.3029304029304029,0.0014652014652014652,0.005128205128205128,0.001098901098901099,0.0,0.010622710622710623,0.01611721611721612,0.0018315018315018315,0.004395604395604396,0.0003663003663003663,0.007326007326007326,0.0062271062271062275,0.017216117216117217,0.008424908424908424,0.12490842490842491,0.002197802197802198,0.006593406593406593,0.008791208791208791,0.007326007326007326,0.0014652014652014652,0.04652014652014652,0.0,0.0018315018315018315
