tissue_class,n_cells,n_pos,mean_expr,gene,fraction_pos
Blood,2307,705,0.27337129660950216,CTCF,0.305591677503251
Breast,6568,1898,0.27630381062493187,CTCF,0.2889768574908648
Embryo,206,69,0.2809636613762684,CTCF,0.33495145631067963
Gonad,612,192,0.265711803642785,CTCF,0.3137254901960784
Kidney,6600,2069,0.2707591423890643,CTCF,0.3134848484848485
Uterine cervix,1671,434,0.2344328620020414,CTCF,0.2597247157390784
Blood,2307,19,0.006703521560291475,CTCFL,0.0082358040745557
Breast,6568,784,0.13029642564346758,CTCFL,0.11936662606577345
Embryo,206,1,0.004966663533384024,CTCFL,0.0048543689320388345
Gonad,612,41,0.058424009164302744,CTCFL,0.06699346405228758
Kidney,6600,77,0.009333557994029861,CTCFL,0.011666666666666667
Uterine cervix,1671,41,0.021542617224329017,CTCFL,0.024536205864751647
Blood,2307,17,0.0077244936382781255,DPEP3,0.007368877329865626
Breast,6568,1151,0.20684931938542375,DPEP3,0.1752436053593179
Embryo,206,0,0.0,DPEP3,0.0
Gonad,612,27,0.033323695846489525,DPEP3,0.04411764705882353
Kidney,6600,13,0.0013604246794414311,DPEP3,0.00196969696969697
Uterine cervix,1671,0,0.0,DPEP3,0.0
