celltype_leiden_res_1.0,XAGE2,XAGE3,PAGE2,IL13RA2,CTCFL,ZNF165,CCDC62,CEP55,TMEFF2,ATAD2
Activated fibroblast,0.0,0.0,0.0017477237381982532,0.004580771275825463,0.0,0.0020325211276926635,0.004761482072516027,0.06671629650826934,0.0021618212864998325,0.2805233156389307
Cycling tumor,0.0023614774645116616,0.0007188180237995983,0.0,0.0005513877293560228,0.010532815321103377,0.039729370484088124,0.0009796810779962057,0.6252656585470372,0.020098598492418365,1.0038849573842408
Fibroblast (CAF),0.0,0.0,0.0,0.054780257441516725,0.0,0.0030392126537869906,0.001000715657692796,0.2910999277075809,0.0,0.46039904502193385
Hypoxic tumor,0.0,0.001156259023938209,0.0007746081055312601,0.11502095989530361,0.013485049856822619,0.00032878038518267285,0.0007553644186744857,0.2596435327233421,0.009204448798533015,0.3784061987771426
Myeloid (inflammatory),0.0,0.0,0.0,0.010720436528108744,0.0,0.0008305105324315008,0.004112483953013868,0.28704339781873894,0.0010858264558158918,0.45835164743299356
Secretory tumor,0.003980198084487884,0.000586125476401368,0.0,0.00037259357600532303,0.0036066524123505466,0.010828202900525575,0.002042061697305939,0.09136523061640028,0.00046046753522517716,0.27830800793654314
Stromal fibroblast,0.0,0.0006176261640075279,0.0,0.00037991733023662257,0.004700898625677568,0.00706480554065047,0.004089714075992233,0.059424093949844395,0.00525268299896813,0.7924256678770182
Transitional tumor state,0.007383874702483009,0.0,0.0,0.0013335264647565924,0.016368861088952833,0.05888720053336162,0.004653689473611401,0.5242983010503754,0.0,0.8347252951247063
Tumor (IFN-response),0.0031847045748861014,0.00019865583088933338,0.00012667152512112247,0.0703568534574967,0.21670905794081974,0.007250771333720068,0.004085731011248709,0.342618729561354,0.15841587916500063,0.3996864212676854
Tumor epithelial,0.006039593180130689,0.0,0.0,0.002207611675220558,0.023902995006161772,0.0007032242920444551,0.002952123640303061,0.1469495038692912,0.018038850790269498,0.3698482920735572
Tumor epithelial (classical),0.0008980361282985637,0.0008918470519904276,0.0,0.0,0.006550991857256362,0.04080962999421005,0.0035154748455613633,0.3022518236173257,0.0009664903300264371,1.427814315811261
Tumor epithelial (mixed stromal),0.0,0.0,0.0,0.044081899517224236,0.019018284098203657,0.0,0.0,0.23920965798712662,0.014378721433464338,0.4653530015134025
Tumor epithelial (ribosomal),0.011377053957716985,0.0,0.0,0.0025497828417534994,0.009062789901556068,0.0011993592973866835,0.0028012227751985563,0.1258909743741546,0.0011795878468047276,0.28848108017448476
Tumor epithelial (stress-responsive),0.034207580249194826,0.0,0.0,0.008908574554880158,0.11076710325433846,0.0225374415553565,0.011721002852761118,0.11622796645013814,0.0,0.25350153300678857
